,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
8028,4,131 weeks on the list,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",2021-06-06,Delia Owens,,WHERE THE CRAWDADS SING,Where the Crawdads Sing,https://www.goodreads.com/author/show/7043934.Delia_Owens?from_search=true&from_srp=true,4.39,2780171.0,2021,,,,
8029,5,3 weeks on the list,21ST BIRTHDAY,James Patterson and Maxine Paetro,"Little, Brown",The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.,2021-06-06,James Patterson,Maxine Paetro,21ST BIRTHDAY,"21st Birthday (Women's Murder Club, #21)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.18,34142.0,2021,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
8030,6,2 weeks on the list,WHILE JUSTICE SLEEPS,Stacey Abrams,Doubleday,"When Justice Wynn slips into a coma, his law clerk, Avery Keene, must unravel the clues of a controversial case.",2021-06-06,Stacey Abrams,,WHILE JUSTICE SLEEPS,While Justice Sleeps (Avery Keene #1),https://www.goodreads.com/author/show/17274107.Stacey_Abrams?from_search=true&from_srp=true,3.96,38997.0,2021,"Madison, Wisconsin, The United States","Madison, Wisconsin, The United States",Point,"[-89.4007501, 43.0721661]"
8031,7,2 weeks on the list,THAT SUMMER,Jennifer Weiner,Atria,Daisy Shoemaker receives emails intended for a woman leading a more glamorous life and finds there was more to this accident.,2021-06-06,Jennifer Weiner,,THAT SUMMER,That Summer,https://www.goodreads.com/author/show/9212.Jennifer_Weiner?from_search=true&from_srp=true,3.75,79838.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8032,8,25 weeks on the list,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2021-06-06,Matt Haig,,THE MIDNIGHT LIBRARY,The Midnight Library,https://www.goodreads.com/author/show/76360.Matt_Haig?from_search=true&from_srp=true,4.01,1588083.0,2021,"Sheffield, The United Kingdom","Sheffield, The United Kingdom",Point,"[-1.470085, 53.38112899999999]"
8033,9,16 weeks on the list,THE FOUR WINDS,Kristin Hannah,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.",2021-06-06,Kristin Hannah,,THE FOUR WINDS,The Four Winds,https://www.goodreads.com/author/show/54493.Kristin_Hannah?from_search=true&from_srp=true,4.3,610519.0,2021,"Southern California, The United States","Southern California, The United States",Point,"[-116.419389, 34.9592083]"
8034,10,2 weeks on the list,PEOPLE WE MEET ON VACATION,Emily Henry,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,2021-06-06,Emily Henry,,PEOPLE WE MEET ON VACATION,People We Meet on Vacation,https://www.goodreads.com/author/show/13905555.Emily_Henry?from_search=true&from_srp=true,3.89,1029228.0,2021,,,,
8035,11,5 weeks on the list,A GAMBLING MAN,David Baldacci,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",2021-06-06,David Baldacci,,A GAMBLING MAN,"A Gambling Man (Archer, #2)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.14,38091.0,2021,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
8036,12,39 weeks on the list,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,2021-06-06,Alex Michaelides,,THE SILENT PATIENT,The Silent Patient,https://www.goodreads.com/author/show/17621440.Alex_Michaelides?from_search=true&from_srp=true,4.18,1862707.0,2021,,,,
8037,13,8 weeks on the list,THE SONG OF ACHILLES,Madeline Miller,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,2021-06-06,Madeline Miller,,THE SONG OF ACHILLES,The Song of Achilles,https://www.goodreads.com/author/show/176372.Madeline_Miller?from_search=true&from_srp=true,4.34,1358953.0,2021,"Boston, The United States","Boston, The United States",Point,"[-71.0588801, 42.3600825]"
8038,14,New this week,THE PLOT,Jean Hanff Korelitz,Celadon,Jacob Finch Bonner sells a story that wasn’t his to tell and finds out more about its source.,2021-06-06,Jean Hanff Korelitz,,THE PLOT,The Plot,https://www.goodreads.com/author/show/72027.Jean_Hanff_Korelitz?from_search=true&from_srp=true,3.83,110952.0,2021,"New York City, NY, The United States","New York City, NY, The United States",Point,"[-74.0059728, 40.7127753]"
8039,15,New this week,THE SOULMATE EQUATION,Christina Lauren,Gallery,"Jessica Davis tries to find a soulmate through a DNA-based matchmaking company, only to find her potential match is someone she can’t stand.",2021-06-06,Christina Lauren,,THE SOULMATE EQUATION,The Soulmate Equation,https://www.goodreads.com/author/show/6556689.Christina_Lauren?from_search=true&from_srp=true,4.01,211522.0,2021,,,,
8040,1,New this week,LEGACY,Nora Roberts,St. Martin's,Threats put in rhymes and sent from shifting locations escalate as the daughter of a successful fitness celebrity’s own yoga business grows.,2021-06-13,Nora Roberts,,,,,,,2021,,,,
8041,2,4 weeks on the list,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2021-06-13,Laura Dave,,THE LAST THING HE TOLD ME,The Last Thing He Told Me,https://www.goodreads.com/author/show/2672.Laura_Dave?from_search=true&from_srp=true,3.85,870802.0,2021,"New York, The United States","New York, The United States",Point,"[-74.0059728, 40.7127753]"
8042,3,New this week,SHADOW STORM,Christine Feehan,Berkley,The sixth book in the Shadow Riders series. Emmanuelle is pulled toward Valentino and his family’s private war.,2021-06-13,Christine Feehan,,SHADOW STORM,"Shadow Storm (Shadow Riders, #6)",https://www.goodreads.com/author/show/6268.Christine_Feehan?from_search=true&from_srp=true,4.38,4460.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8043,4,4 weeks on the list,PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",2021-06-13,Andy Weir,,PROJECT HAIL MARY,Project Hail Mary,https://www.goodreads.com/author/show/6540057.Andy_Weir?from_search=true&from_srp=true,4.51,504681.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8044,5,5 weeks on the list,SOOLEY,John Grisham,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.,2021-06-13,John Grisham,,SOOLEY,Sooley,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,4.14,59224.0,2021,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
8045,6,New this week,THE SABOTEURS,Clive Cussler and Jack Du Brul,Putnam,The 12th book in the Isaac Bell Adventure series. An assassination attempt reveals a deeper plot at the Panama Canal.,2021-06-13,Clive Cussler,Jack Du Brul,THE SABOTEURS,"The Saboteurs (Isaac Bell, #12)",https://www.goodreads.com/author/show/18411.Clive_Cussler?from_search=true&from_srp=true,4.3,4488.0,2021,"Alhambra, The United States","Alhambra, The United States",Point,"[-118.1270146, 34.095287]"
8046,7,132 weeks on the list,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",2021-06-13,Delia Owens,,WHERE THE CRAWDADS SING,Where the Crawdads Sing,https://www.goodreads.com/author/show/7043934.Delia_Owens?from_search=true&from_srp=true,4.39,2780171.0,2021,,,,
8047,8,6 weeks on the list,A GAMBLING MAN,David Baldacci,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",2021-06-13,David Baldacci,,A GAMBLING MAN,"A Gambling Man (Archer, #2)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.14,38091.0,2021,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
8048,9,26 weeks on the list,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2021-06-13,Matt Haig,,THE MIDNIGHT LIBRARY,The Midnight Library,https://www.goodreads.com/author/show/76360.Matt_Haig?from_search=true&from_srp=true,4.01,1588083.0,2021,"Sheffield, The United Kingdom","Sheffield, The United Kingdom",Point,"[-1.470085, 53.38112899999999]"
8049,10,3 weeks on the list,WHILE JUSTICE SLEEPS,Stacey Abrams,Doubleday,"When Justice Wynn slips into a coma, his law clerk, Avery Keene, must unravel the clues of a controversial case.",2021-06-13,Stacey Abrams,,WHILE JUSTICE SLEEPS,While Justice Sleeps (Avery Keene #1),https://www.goodreads.com/author/show/17274107.Stacey_Abrams?from_search=true&from_srp=true,3.96,38997.0,2021,"Madison, Wisconsin, The United States","Madison, Wisconsin, The United States",Point,"[-89.4007501, 43.0721661]"
8050,11,3 weeks on the list,PEOPLE WE MEET ON VACATION,Emily Henry,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,2021-06-13,Emily Henry,,PEOPLE WE MEET ON VACATION,People We Meet on Vacation,https://www.goodreads.com/author/show/13905555.Emily_Henry?from_search=true&from_srp=true,3.89,1029228.0,2021,,,,
8051,12,3 weeks on the list,THAT SUMMER,Jennifer Weiner,Atria,Daisy Shoemaker receives emails intended for a woman leading a more glamorous life and finds there was more to this accident.,2021-06-13,Jennifer Weiner,,THAT SUMMER,That Summer,https://www.goodreads.com/author/show/9212.Jennifer_Weiner?from_search=true&from_srp=true,3.75,79838.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8052,13,17 weeks on the list,THE FOUR WINDS,Kristin Hannah,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West.",2021-06-13,Kristin Hannah,,THE FOUR WINDS,The Four Winds,https://www.goodreads.com/author/show/54493.Kristin_Hannah?from_search=true&from_srp=true,4.3,610519.0,2021,"Southern California, The United States","Southern California, The United States",Point,"[-116.419389, 34.9592083]"
8053,14,4 weeks on the list,21ST BIRTHDAY,James Patterson and Maxine Paetro,"Little, Brown",The 21st book in the Women’s Murder Club series. New evidence changes the investigation of a missing mother.,2021-06-13,James Patterson,Maxine Paetro,21ST BIRTHDAY,"21st Birthday (Women's Murder Club, #21)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.18,34142.0,2021,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
8054,15,9 weeks on the list,THE SONG OF ACHILLES,Madeline Miller,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,2021-06-13,Madeline Miller,,THE SONG OF ACHILLES,The Song of Achilles,https://www.goodreads.com/author/show/176372.Madeline_Miller?from_search=true&from_srp=true,4.34,1358953.0,2021,"Boston, The United States","Boston, The United States",Point,"[-71.0588801, 42.3600825]"
8055,1,New this week,FREED,E.L. James,Bloom,The final chapter of the Fifty Shades as Told by Christian trilogy delves into the wedding between Christian Grey and Anastasia Steele.,2021-06-20,E.L. James,,FREED,"Fifty Shades Freed (Fifty Shades, #3)",https://www.goodreads.com/author/show/4725841.E_L_James?from_search=true&from_srp=true,3.83,837482.0,2021,"London, The United Kingdom","London, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
8056,2,New this week,GOLDEN GIRL,Elin Hilderbrand,"Little, Brown",A Nantucket novelist gets one final summer to watch what happens from the great beyond.,2021-06-20,Elin Hilderbrand,,GOLDEN GIRL,Golden Girl,https://www.goodreads.com/author/show/88301.Elin_Hilderbrand?from_search=true&from_srp=true,4.17,135011.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8057,3,New this week,MALIBU RISING,Taylor Jenkins Reid,Ballantine,"Four famous siblings throw an epic party to celebrate the end of summer. But over the course of 24 hours, their lives will change forever.",2021-06-20,Taylor Jenkins Reid,,MALIBU RISING,Malibu Rising,https://www.goodreads.com/author/show/6572605.Taylor_Jenkins_Reid?from_search=true&from_srp=true,4.05,943489.0,2021,,,,
8058,4,5 weeks on the list,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2021-06-20,Laura Dave,,THE LAST THING HE TOLD ME,The Last Thing He Told Me,https://www.goodreads.com/author/show/2672.Laura_Dave?from_search=true&from_srp=true,3.85,870802.0,2021,"New York, The United States","New York, The United States",Point,"[-74.0059728, 40.7127753]"
8059,5,New this week,ONE LAST STOP,Casey McQuiston,St. Martin's Griffin,August meets the girl of her dreams on a New York subway only to find she’s from another time.,2021-06-20,Casey McQuiston,,ONE LAST STOP,One Last Stop,https://www.goodreads.com/author/show/17949486.Casey_McQuiston?from_search=true&from_srp=true,3.94,218520.0,2021,,,,
8060,6,5 weeks on the list,PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders.",2021-06-20,Andy Weir,,PROJECT HAIL MARY,Project Hail Mary,https://www.goodreads.com/author/show/6540057.Andy_Weir?from_search=true&from_srp=true,4.51,504681.0,2021,The United States,The United States,Point,"[-95.712891, 37.09024]"
8061,7,2 weeks on the list,LEGACY,Nora Roberts,St. Martin's,Threats put in rhymes and sent from shifting locations escalate as the daughter of a successful fitness celebrity’s own yoga business grows.,2021-06-20,Nora Roberts,,,,,,,2021,,,,
8062,8,133 weeks on the list,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",2021-06-20,Delia Owens,,WHERE THE CRAWDADS SING,Where the Crawdads Sing,https://www.goodreads.com/author/show/7043934.Delia_Owens?from_search=true&from_srp=true,4.39,2780171.0,2021,,,,
8063,9,4 weeks on the list,PEOPLE WE MEET ON VACATION,Emily Henry,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,2021-06-20,Emily Henry,,PEOPLE WE MEET ON VACATION,People We Meet on Vacation,https://www.goodreads.com/author/show/13905555.Emily_Henry?from_search=true&from_srp=true,3.89,1029228.0,2021,,,,
8064,10,6 weeks on the list,SOOLEY,John Grisham,Doubleday,Samuel Sooleymon receives a basketball scholarship to North Carolina Central and determines to bring his family over from a civil war-ravaged South Sudan.,2021-06-20,John Grisham,,SOOLEY,Sooley,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,4.14,59224.0,2021,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
8065,11,27 weeks on the list,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2021-06-20,Matt Haig,,THE MIDNIGHT LIBRARY,The Midnight Library,https://www.goodreads.com/author/show/76360.Matt_Haig?from_search=true&from_srp=true,4.01,1588083.0,2021,"Sheffield, The United Kingdom","Sheffield, The United Kingdom",Point,"[-1.470085, 53.38112899999999]"
